1	LAK718	U+12515
1	LAK719	U+12514
1	LAK720	U+12513
1	LAK721	U+12065
1	LAK722	U+F109F
5	LAK723,1	U+121A6
5	LAK723,2	U+121A6,1
1	LAK724	U+12517
1	LAK725	U+F10A0
1	LAK726	U+120B5
1	LAK727	U+120B6
1	LAK728	x120B5.x1219C
1	LAK729	U+12327
1	LAK730	U+12326
1	LAK731	U+12293
1	LAK732	U+1208D
1	LAK733	U+121A4
1	LAK734	U+F004F
1	LAK735	U+1218D
1	LAK736	U+124AA
1	LAK737	U+12093
1	LAK738	U+124A9
5	LAK739,1	U+12091
5	LAK739,2	U+12091,1
1	LAK740	U+12056
1	LAK741	U+12489
1	LAK742	U+12043
1	LAK743	U+12484
1	LAK744	U+1205B
1	LAK745	U+12485
1	LAK746	U+12486
1	LAK747	U+12094
1	LAK748	U+F10A1
1	LAK749	U+12518
5	LAK750,1	U+12228
5	LAK750,2	U+12228,1
5	LAK751,1	U+F2005
5	LAK751,2	U+F2005,1
5	LAK752,1	U+12047
5	LAK752,2	U+12047,1
1	LAK753	U+F10A2
1	LAK754	U+121B2,1
1	LAK755	U+12141
1	LAK756	U+121F2
1	LAK757	x121F2.x122AC
1	LAK758	x121F2.x1224C
1	LAK759	U+F10A3
1	LAK760	U+121F3
1	LAK761	x121F3.x122AC
1	LAK762	U+F10A5
1	LAK763	U+F3005
1	LAK764	U+F10A7
1	LAK765	U+F10A8
1	LAK766	U+121B8
1	LAK767	x121B8.x121B8
1	LAK768	U+121C9
1	LAK769	U+121BE
1	LAK770	U+F10A9
1	LAK771	U+121E5
1	LAK772	U+F10AB
1	LAK773	U+F10AD
1	LAK774	U+F10AE
1	LAK775	U+121FB
1	LAK776	U+F10AF
1	LAK777	U+1206D
1	LAK778	U+1235A
1	LAK779	U+F10B0
5	LAK780,1	U+12073
5	LAK780,2	U+12073,1
1	LAK781	U+121C7
1	LAK782	U+121CB
1	LAK783	U+121E1
1	LAK784	U+F10B1
5	LAK785,1	U+121B9
5	LAK785,2	U+121B9,1
1	LAK786	U+F10B2
1	LAK787	U+F10B3
1	LAK788	U+124D4
1	LAK789	U+F10B4
1	LAK790	U+12216
1	LAK791	U+12089
5	LAK792,1	U+12247
5	LAK792,2	U+12247,1
1	LAK793	U+122E0
1	LAK794	U+120A0
5	LAK795,1	U+12000
5	LAK795,2	U+12000,1
1	LAK796	U+12004
1	LAK797	U+1235D
1	LAK798	U+12541
1	LAK799	x1235D.x12122
1	LAK800	U+12002
1	LAK801	U+121AF,1
1	LAK802	U+F2006
1	LAK803	U+F2007
1	LAK804	U+F10B6
1	LAK805	U+F10B7
1	LAK806	U+F10B8
1	LAK807	U+1230B
1	LAK808	U+12434
1	LAK809	U+122B9
1	LAK810	U+F10B9
1	LAK811	U+F10BA
1	LAK812	U+F10BB
1	LAK813	U+1226D,1
5	LAK814,1	U+F10BC
5	LAK814,2	U+F10BC,1
5	LAK814,3	U+F10BC,2
5	LAK814,4	U+F10BC,3
1	LAK815	U+F2008
5	LAK816,1	U+1244F
5	LAK816,2	U+1244F,1
5	LAK817,1	U+1245D
5	LAK817,2	U+1245D,1
5	LAK817,3	U+1245D,2
1	LAK818	U+1245E
1	LAK819	U+1245C
5	LAK820,1	U+12550,1
5	LAK820,2	U+12550,2
