BAU153	o0018505	2337	2337	BAU153								
BAU154	o0000485	2338	14091	NISAG	U+12260	𒉠						
BAU155	o0000476	2339	13534	NA₂	U+1223F	𒈿						
BAU156	o0000164	2340	3612	DUN₄	U+12088	𒂈						
BAU157		2341	0								
BAU158	o0000605	2342	23276	ZAG	U+12360	𒍠						
BAU159		2343	0								
BAU160	o0000437	2344	11879	LUL	U+1221C	𒈜						
BAU161		2345	0								
BAU161a	o0000101	2346	1236	ANŠE	U+12032	𒀲						
BAU161a	o0000215	2346	6110	GIR₃	U+1210A	𒄊						
BAU161b	o0018506	2347	2347	BAU161b								
BAU161c	o0000101	2348	1236	ANŠE	U+12032	𒀲						
BAU161c	o0000215	2348	6110	GIR₃	U+1210A	𒄊						
BAU162	o0000503	2349	14593	PIRIG	U+1228A	𒊊						
BAU162	o0000503	2349	14593	PIRIG	U+1228A	𒊊						
BAU162	o0000503	2349	14593	PIRIG	U+1228A	𒊊						
BAU163	o0027179	2350	3113	|DARA₃×MA|								
BAU164	o0002245	2351	14606	|PIRIG×ZA|	U+1228D	𒊍						
BAU165	o0001351	2352	6123	|GIR₃×GAN₂@t|	U+1210C	𒄌						
BAU166		2353	0								
BAU167	o0027199	2354	19517	|ŠU₂.AN.HI×KAK|	x122D9.x1202D.X	𒋙𒀭X						
BAU168		2355	0								
BAU169		2356	0								
BAU170		2357	0								
BAU171	o0000771	2358	286	|AB₂×ŠA₃|	U+1201A	𒀚						
BAU172	o0000224	2359	6517	GUL	U+12122	𒄢						
BAU173	o0000455	2360	12220	MI	U+1222A	𒈪						
BAU174	o0027214	2361	12224	|MI&MI|								
BAU175	o0000212	2362	6019	GIG	U+1237C	𒍼						
BAU176		2363	0								
BAU177	o0000090	2364	248	AB₂	U+12016	𒀖						
BAU178	o0000090	2365	248	AB₂	U+12016	𒀖						
BAU179	o0002466	2366	20517	|U.SAG|	x1230B.x12295	𒌋𒊕						
BAU180	o0000498	2367	14411	PAD	U+1227B	𒉻						
BAU181	o0002446	2368	20491	|U.AD|	x1230B.x1201C	𒌋𒀜						
BAU182	o0000296	2369	9020	KU₃	U+121AC	𒆬						
BAU183	o0027171	2370	3338	DIN@t								
BAU184	o0000237	2371	7047	HI	U+1212D	𒄭						
BAU185	o0000247	2372	7686	IGI	U+12146	𒅆						
BAU186	o0025841	2373	10851	LAK363								
BAU187	o0027523	2374	14296	|NUNUZ.NUNUZ|	x1226D.x1226D	𒉭𒉭						
BAU188	o0001464	2375	7096	|HI×ŠE|	U+12135	𒄵						
BAU189	o0001452	2376	7068	|HI×AŠ₂|	U+1212F	𒄯						
BAU190	o0000139	2377	3204	DI	U+12072	𒁲						
BAU191	o0000279	2378	8645	KI	U+121A0	𒆠						
BAU192	o0001452	2379	7068	|HI×AŠ₂|	U+1212F	𒄯						
BAU193		2380	0								
BAU194		2381	0								
BAU195	o0000550	2382	20009	TE	U+122FC	𒋼						
BAU195	o0000550	2382	20009	TE	U+122FC	𒋼						
BAU196	o0002412	2383	20010	|TE.A|	x122FC.x12000	𒋼𒀀						
BAU197	o0000565	2384	22194	UD	U+12313	𒌓						
BAU198		2385	0								
BAU198a	o0002488	2386	22207	|UD.DU|	x12313.x1207A	𒌓𒁺						
BAU199		2387	0								
BAU200	o0002508	2388	22238	|UD.NUN|	x12313.x12263	𒌓𒉣						
BAU201	o0002482	2389	22197	|UD.AB|	x12313.x1200A	𒌓𒀊						
BAU202	o0000527	2390	16927	SIG	U+122DD	𒋝						
BAU203		2391	0								
BAU204	o0000516	2392	16359	RU	U+12292	𒊒						
BAU205	o0000305	2393	10206	LA	U+121B7	𒆷						
BAU206	o0000528	2394	16933	SIG₄	U+122DE	𒋞						
BAU206	o0000528	2394	16933	SIG₄	U+122DE	𒋞						
BAU207	o0000232	2395	6891	HA	U+12129	𒄩						
BAU207	o0000232	2395	6891	HA	U+12129	𒄩						
BAU208		2396	0								
BAU209	o0027222	2397	2397	BAU209								
BAU210	o0000233	2398	6905	HA@g	U+1212B	𒄫						
BAU210	o0000233	2398	6905	HA@g	U+1212B	𒄫						
BAU211	o0000234	2399	6909	HA@t	U+1212A	𒄪						
BAU212		2400	0								
BAU213	o0000592	2401	23105	UZU	U+1235C	𒍜						
BAU214	o0000537	2402	18250	SUMAŠ	U+122E8	𒋨						
BAU215	o0000535	2403	18183	SUHUR	U+122E6	𒋦						
BAU216		2404	0								
BAU217	o0000193	2405	5104	GAD	U+120F0	𒃰						
BAU218	o0000498	2406	14411	PAD	U+1227B	𒉻						
BAU219		2407	0								
BAU220	o0000193	2408	5104	GAD	U+120F0	𒃰						
BAU221	o0002459	2409	20508	|U.GUD|	U+1230C	𒌌						
BAU222	o0000113	2410	1956	BA	U+12040	𒁀						
BAU223		2411	0								
BAU224	o0000614	2412	24362	ZU	U+1236A	𒍪						
